intent,question_example,answer_summary,source
symptoms,What are the early symptoms of Hepatitis B?,"Hepatitis B symptoms vary, many people have none. When symptoms occur (more often in acute infection in older children/adults), they can include fatigue, fever, nausea, abdominal pain, dark urine, pale stools, joint pain, and jaundice. With the symptom you mentioned (What are early symptoms), it is worth getting evaluated by a health care professional",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Does Hepatitis B always cause jaundice?,"Jaundice (yellowing of the skin or eyes) can happen with acute hepatitis B and is one of the classic signs of liver inflammation. If you notice jaundice especially with dark urine, nausea, abdominal pain, or fatiguem seek medical evaluation and get tested. ",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Can Hep B make you feel tired all the time?,"Acute hepatitis B symptoms can include fatigue, fever, nausea/vomiting, loss of appetite, abdominal pain, and joint pain. Not everyone gets symptoms, so if you have risk factors or possible exposure, testing is still important even if you feel fine. With the symptom you mentioned (make feel tired all time), it is worth to get evaluated by a medical professional.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Does Hep B cause stomach or liver pain?,"Hepatitis B symptoms vary, many people have none. When symptoms occur (more often in acute infection in older children/adults), they can include fatigue, fever, nausea, abdominal pain, dark urine, pale stools, joint pain, and jaundice. With the symptom you mentioned (cause stomach liver pain), it is worth getting evaluated by a health care professional.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Can someone have Hepatitis B without symptoms?,"Hepatitis B symptoms vary, many people have none. When symptoms occur (more often in acute infection in older children/adults), they can include fatigue, fever, nausea, abdominal pain, dark urine, pale stools, joint pain, and jaundice. With the symptom you mentioned (someone have without symptoms), it is worth getting evaluated by health care professional. ",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Is dark urine a symptom of Hep B?,"Dark urine or pale/clay-colored stools can be symptoms of acute hepatitis B and reflect changes in bile handling when the liver is inflamed. These symptoms warrant prompt medical evaluation and hepatitis testing. With the symptom you mentioned (dark urine symptom), it is worth getting evaluated by health care professional. ",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Are joint pains common with Hepatitis B?,"Acute hepatitis B symptoms can include fatigue, fever, nausea/vomiting, loss of appetite, abdominal pain, and joint pain. Not everyone gets symptoms, so if you have risk factors or possible exposure, testing is still important even if you feel fine. With the symptom you mentioned (Are joint pains common), it  is worth getting evaluated by a health care professional.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Does Hep B cause fever?,"Acute hepatitis B symptoms can include fatigue, fever, nausea/vomiting, loss of appetite, abdominal pain, and joint pain. Not everyone gets symptoms, so if you have risk factors or possible exposure, testing is still important even if you feel fine. With the symptom you mentioned (cause fever), it is worth getting evaluated by a health care professional.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,What does acute Hepatitis B feel like?,"Hepatitis B symptoms vary, many people have none. When symptoms occur (more often in acute infection in older children/adults), they can include fatigue, fever, nausea, abdominal pain, dark urine, pale stools, joint pain, and jaundice. With the symptom you mentioned (What acute feel like), it is worth getting evaluated by a healthcare professional.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
symptoms,Does Hepatitis B cause vomiting or nausea?,"Acute hepatitis B symptoms can include fatigue, fever, nausea/vomiting, loss of appetite, abdominal pain, and joint pain. Not everyone gets symptoms, so if you have risk factors or possible exposure, testing is still important even if you feel fine. With the symptom you mentioned (cause vomiting nausea), it is worth getting evaluated by a health care professional. ",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/signs-symptoms/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/symptoms/
testing,What tests are used to check for Hepatitis B?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (What tests are used check for), the best next step is to review the full hepatitis B panel results together by a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,How soon after exposure should I get tested for Hep B?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (exposure should tested for), the best next step is to review the full hepatitis B panel results together with a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,Do I need a blood test to confirm Hepatitis B?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (need blood test confirm), the best next step is to review the full hepatitis B panel results together with a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,What does a positive HBsAg test mean?,"HBsAg (hepatitis B surface antigen) is a marker of current hepatitis B infection. If HBsAg is positive, it usually means you are infected (acute or chronic depending on duration) and can potentially transmit the virus, your clinician will order follow-up tests (like HBV DNA and other antibodies) to clarify the stage. Because you asked about (What positive HBsAg test mean), the best next step is to review the full hepatitis B panel results together with health care professional.",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,Do I need repeated blood tests for Hepatitis B?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (need repeated blood tests for), the best next step is to review the full hepatitis B panel results together with a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,Can rapid tests detect Hepatitis B?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (rapid tests detect), the best next step is to review the full hepatitis B panel results together with a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,What is the Hepatitis B surface antigen test?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (What surface antigen test), the best next step is to review the full hepatitis B panel results together with a healthcare professional.",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,What does anti-HBs mean on my test report?,"Anti-HBs (hepatitis B surface antibody) generally indicates immunity to hepatitis B. It can be positive after successful vaccination or after recovery from a past infection; your overall pattern (Anti-HBs together with other markers like total Anti-HBc) helps distinguish those two. Because you asked about (What anti HBs mean test report), the best next step is to review the full hepatitis B panel results together with a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,Can my Hep B test be false-negative?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (test be false negative), the best next step is to review the full hepatitis B panel results together with a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
testing,Does Hep B testing require fasting?,"Hepatitis B is diagnosed with blood tests. The key markers are HBsAg (current infection), Anti-HBs (immunity), and Anti-HBc (past or current exposure); interpreting them together is the clearest way to understand your status. Because you asked about (testing require fasting), the best next step is to review the full hepatitis B panel results together with a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/diagnosis-testing/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/diagnosis/understanding-your-test-results/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,How many doses are in the Hepatitis B vaccine series?,"Most hepatitis B vaccines are given as a multi-dose series (commonly 3 doses on a 0-, 1-, and 6 month schedule). Following the recommended intervals and completing the whole series gives the best long-term protection. Since you are asking about vaccines please consult a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,Is the Hep B vaccine recommended for adults?,Vaccination is the best way to prevent hepatitis B. Most people receive a multi-dose series; completing the full series is important for long-term protection. Since you are asking about vaccination please consult a healthcare professional. ,CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,How effective is the Hepatitis B vaccine?,"Yes, the hepatitis B vaccine is highly effective at preventing infection when you complete the recommended series. Protection is strongest after finishing all doses, so try not to miss or delay doses. Since you are asking about vaccination, please consult a healthcare professional for additional info. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,What if I missed my second dose of the Hep B vaccine?,Vaccination is the best way to prevent hepatitis B. Most people receive a multi-dose series; completing the full series is important for long-term protection. Since you are asking about vaccination please consult a healthcare professional. ,CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,Can I still get Hepatitis B after completing the vaccine?,Vaccination is the best way to prevent hepatitis B. Most people receive a multi-dose series; completing the full series is important for long-term protection. Since you are asking about vaccination please consult a healthcare professional. ,CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,Do I need a booster shot for Hep B?,"For most people who complete the hepatitis B vaccine series and respond, protection is long-lasting even if antibody levels decline over time. In specific clinical situations, a clinician may check immunity and advise additional doses, but routine boosters aren't needed for most healthy people. Since you are asking about vaccinations please consult a healthcare professional. ",CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,Is the Hepatitis B vaccine safe for children?,"The hepatitis B vaccine is widely used and recommended as a safe and effective way to prevent hepatitis B. Like other vaccines, it can cause mild side effects such as soreness at the injection site; serious reactions are rare. Since you are asking about vaccine please consult a health care professional",CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,Can pregnant people get the Hep B vaccine?,Vaccination is the best way to prevent hepatitis B. Most people receive a multi-dose series; completing the full series is important for long-term protection. Since you are asking about vaccination please consult a healthcare professional. ,CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,How long does Hep B vaccine immunity last?,"Vaccination is the best way to prevent hepatitis B. Most people receive a multi-dose series; completing the full series is important for long-term protection. Since you're asking about (How long vaccine immunity last), focus on completing the recommended doses on schedule for durable protection.",CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
vaccination,Does the Hep B vaccine have side effects?,"The hepatitis B vaccine is widely used and recommended as a safe and effective way to prevent hepatitis B. Like other vaccines, it can cause mild side effects such as soreness at the injection site; serious reactions are rare. Since you are asking about vaccines please consult a health care professional",CDC: https://www.cdc.gov/hepatitis-b/hcp/vaccine-administration/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/vaccination/guidelines-2/ | WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
treatment,Is there a cure for Hepatitis B?,"For chronic hepatitis B, there isn't a universal one-time cure, but antiviral medicines can suppress the virus and reduce liver damage. For acute hepatitis B, many healthy adults clear the infection without long-term treatment, but follow-up testing is needed to confirm clearance. For what you asked (there cure for), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,Do all people with chronic Hep B need treatment?,"Treatment depends on whether hepatitis B is acute or chronic. Chronic infection may be treated with antivirals to suppress the virus and reduce liver damage, while acute infection is often supportive care with monitoring. For what you asked (chronic need treatment), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,What medications are used to treat Hepatitis B?,"Chronic hepatitis B is often managed with antiviral medicines that suppress HBV replication and help protect the liver. Your clinician decides whether to start treatment based on factors like HBV DNA level, ALT (liver enzymes), and liver fibrosis/cirrhosis status. For what you asked (What medications are used treat), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,Can acute Hep B go away without treatment?,"Most acute hepatitis B infections in otherwise healthy adults are managed with supportive care, because many people clear the virus on their own. Medical follow-up is still important to monitor liver function and confirm whether the infection resolves. For what you asked (acute go away without treatment), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,Does Hep B require lifelong monitoring?,"Treatment depends on whether hepatitis B is acute or chronic. Chronic infection may be treated with antivirals to suppress the virus and reduce liver damage, while acute infection is often supportive care with monitoring. For what you asked (require lifelong monitoring), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,What does antiviral treatment for Hep B do?,"Chronic hepatitis B is often managed with antiviral medicines that suppress HBV replication and help protect the liver. Your clinician decides whether to start treatment based on factors like HBV DNA level, ALT (liver enzymes), and liver fibrosis/cirrhosis status. For what you asked (What antiviral treatment for), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,Can Hepatitis B be managed with lifestyle changes?,"Treatment depends on whether hepatitis B is acute or chronic. Chronic infection may be treated with antivirals to suppress the virus and reduce liver damage, while acute infection is often supportive care with monitoring. For what you asked (lifestyle changes), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,What happens if chronic Hepatitis B is untreated?,"Treatment depends on whether hepatitis B is acute or chronic. Chronic infection may be treated with antivirals to suppress the virus and reduce liver damage, while acute infection is often supportive care with monitoring. For what you asked (What happens if chronic untreated), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,Does Hep B cause long-term liver damage?,"Treatment depends on whether hepatitis B is acute or chronic. Chronic infection may be treated with antivirals to suppress the virus and reduce liver damage, while acute infection is often supportive care with monitoring. For what you asked (cause long term liver damage), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
treatment,Can Hep B patients live a normal life?,"Treatment depends on whether hepatitis B is acute or chronic. Chronic infection may be treated with antivirals to suppress the virus and reduce liver damage, while acute infection is often supportive care with monitoring. For what you asked (patients live normal life), treatment decisions usually depend on lab results and liver health, not symptoms alone.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/about/index.html | Hepatitis B Foundation: https://www.hepb.org/what-is-hepatitis-b/what-is-hepb/acute-vs-chronic/
prevention,How can I protect myself from Hepatitis B?,"Prevention focuses on vaccination plus reducing exposure to infected blood and body fluids (safer sex, not sharing needles or blood-contaminated personal items, and using sterile equipment for tattoos/piercings). For the situation you mentioned (How protect myself), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
prevention,Does using condoms reduce Hep B risk?,"Condoms reduce the risk of hepatitis B transmission during sex by limiting exposure to infected blood and sexual fluids. Vaccination provides the strongest protection, so combining vaccination + condoms is especially protective. For the situation you mentioned (using condoms reduce risk), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
prevention,Is the Hepatitis B vaccine the best protection?,"Prevention focuses on vaccination plus reducing exposure to infected blood and body fluids (safer sex, not sharing needles or blood-contaminated personal items, and using sterile equipment for tattoos/piercings). For the situation you mentioned (vaccine best protection), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
prevention,Can proper sterilization prevent Hep B?,"To prevent hepatitis B: get vaccinated, use condoms during sex, avoid sharing needles/syringes, and dont share personal items that may have blood (like toothbrushes or razors). If you might be exposed at work (healthcare), follow standard precautions and safety practices. For the situation you mentioned (proper sterilization prevent), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
